season,date,away_team,away_score,home_team,home_score
2016_fall_sunday,Sun Sep 11,"
Better Than Brunch
",1.0,"
Donatella Verbocce
",2.0
2016_fall_sunday,Sun Sep 11,"
Boccenalia 
",F,"
I Love It When You Call Me Big Bocce
",F
2016_fall_sunday,Sun Sep 11,"
Bocce By Nature
",F,"
Kei Kei's Boiz
",F
2016_fall_sunday,Sun Sep 11,"
Revenge of the Nerds
",2,"
Boccmanity Insanity
",0
2016_fall_sunday,Sun Sep 11,"
Rollin' with the Homies
",1,"
Sugar
",2
2016_fall_sunday,Sun Sep 11,"
Dem Rude Boiz
",0,"
Zamboni Union
",2
2016_fall_sunday,Sun Sep 18,"
Bocce By Nature
",F,"
Boccmanity Insanity
",F
2016_fall_sunday,Sun Sep 18,"
Dem Rude Boiz
",F,"
Sugar
",0
2016_fall_sunday,Sun Sep 18,"
Donatella Verbocce
",1,"
Boccenalia 
",2
2016_fall_sunday,Sun Sep 18,"
Better Than Brunch
",2,"
I Love It When You Call Me Big Bocce
",1
2016_fall_sunday,Sun Sep 18,"
Kei Kei's Boiz
",2,"
Revenge of the Nerds
",1
2016_fall_sunday,Sun Sep 18,"
Rollin' with the Homies
",F,"
Zamboni Union
",0
2016_fall_sunday,Sun Sep 25,"
Boccmanity Insanity
",0,"
Rollin' with the Homies
",2
2016_fall_sunday,Sun Sep 25,"
Zamboni Union
",F,"
Sugar
",F
2016_fall_sunday,Sun Sep 25,"
Donatella Verbocce
",2,"
I Love It When You Call Me Big Bocce
",0
2016_fall_sunday,Sun Sep 25,"
Dem Rude Boiz
",2,"
Revenge of the Nerds
",1
2016_fall_sunday,Sun Sep 25,"
Better Than Brunch
",F,"
Bocce By Nature
",F
2016_fall_sunday,Sun Oct 2,"
Boccenalia 
",2,"
Revenge of the Nerds
",0
2016_fall_sunday,Sun Oct 2,"
Bocce By Nature
",F,"
Sugar
",F
2016_fall_sunday,Sun Oct 2,"
Better Than Brunch
",0,"
Dem Rude Boiz
",2
2016_fall_sunday,Sun Oct 2,"
Kei Kei's Boiz
",0,"
Rollin' with the Homies
",F
2016_fall_sunday,Sun Oct 2,"
Zamboni Union
",1,"
Donatella Verbocce
",2
2016_fall_sunday,Sun Oct 2,"
I Love It When You Call Me Big Bocce
",F,"
Boccmanity Insanity
",0
2016_fall_sunday,Sun Oct 9,"
Revenge of the Nerds
",2,"
Rollin' with the Homies
",0
2016_fall_sunday,Sun Oct 9,"
Dem Rude Boiz
",0,"
Kei Kei's Boiz
",2
2016_fall_sunday,Sun Oct 9,"
Better Than Brunch
",0,"
Zamboni Union
",2
2016_fall_sunday,Sun Oct 9,"
Boccenalia 
",1,"
Boccmanity Insanity
",2
2016_fall_sunday,Sun Oct 9,"
Bocce By Nature
",0,"
Donatella Verbocce
",2
2016_fall_sunday,Sun Oct 9,"
I Love It When You Call Me Big Bocce
",F,"
Sugar
",2
2016_fall_sunday,Sun Oct 16,"
Donatella Verbocce
",0,"
Kei Kei's Boiz
",F
2016_fall_sunday,Sun Oct 16,"
Better Than Brunch
",1,"
Sugar
",2
2016_fall_sunday,Sun Oct 16,"
Boccenalia 
",2,"
Bocce By Nature
",0
2016_fall_sunday,Sun Oct 16,"
Rollin' with the Homies
",2,"
Dem Rude Boiz
",1
2016_fall_sunday,Sun Oct 16,"
I Love It When You Call Me Big Bocce
",F,"
Revenge of the Nerds
",0
2016_fall_sunday,Sun Oct 16,"
Zamboni Union
",1,"
Boccmanity Insanity
",2
2016_fall_sunday,Sun Oct 23,"
Boccmanity Insanity
",0,"
Kei Kei's Boiz
",2
2016_fall_sunday,Sun Oct 23,"
I Love It When You Call Me Big Bocce
",F,"
Bocce By Nature
",2
2016_fall_sunday,Sun Oct 23,"
Better Than Brunch
",2,"
Rollin' with the Homies
",0
2016_fall_sunday,Sun Oct 23,"
Boccenalia 
",0,"
Zamboni Union
",2
2016_fall_sunday,Sun Oct 23,"
Revenge of the Nerds
",1,"
Sugar
",2
2016_fall_sunday,Sun Oct 23,"
Donatella Verbocce
",2,"
Dem Rude Boiz
",0
2016_fall_sunday,Sun Oct 30,"
Donatella Verbocce
",1,"
Revenge of the Nerds
",2
2016_fall_sunday,Sun Oct 30,"
I Love It When You Call Me Big Bocce
",F,"
Rollin' with the Homies
",2
2016_fall_sunday,Sun Oct 30,"
Zamboni Union
",2,"
Bocce By Nature
",0
2016_fall_sunday,Sun Oct 30,"
Boccmanity Insanity
",0,"
Sugar
",2
2016_fall_sunday,Sun Oct 30,"
Better Than Brunch
",2,"
Kei Kei's Boiz
",0
2016_fall_sunday,Sun Oct 30,"
Boccenalia 
",2,"
Dem Rude Boiz
",0
2016_fall_sunday,Sun Nov 6,"
Boccenalia 
",2,"
Rollin' with the Homies
",1
2016_fall_sunday,Sun Nov 6,"
Bocce By Nature
",F,"
Dem Rude Boiz
",F
2016_fall_sunday,Sun Nov 6,"
Zamboni Union
",1,"
Revenge of the Nerds
",2
2016_fall_sunday,Sun Nov 6,"
Better Than Brunch
",0,"
Boccmanity Insanity
",F
2016_fall_sunday,Sun Nov 6,"
I Love It When You Call Me Big Bocce
",F,"
Kei Kei's Boiz
",2
2016_fall_sunday,Sun Nov 13,"
Better Than Brunch
",2,"
Revenge of the Nerds
",1
2016_fall_sunday,Sun Nov 13,"
Zamboni Union
",2,"
Kei Kei's Boiz
",0
2016_fall_sunday,Sun Nov 13,"
Donatella Verbocce
",2,"
Boccmanity Insanity
",0
2016_fall_sunday,Sun Nov 13,"
Dem Rude Boiz
",2,"
I Love It When You Call Me Big Bocce
",F
2016_fall_sunday,Sun Nov 13,"
Bocce By Nature
",0,"
Rollin' with the Homies
",2
2016_fall_sunday,Sun Nov 13,"
Boccenalia 
",0,"
Sugar
",2
2016_fall_sunday,Sun Nov 13,"
Bocce By Nature
",0,"
Sugar
",2
2016_fall_sunday,Sun Nov 20,"
I Love It When You Call Me Big Bocce
",F,"
Zamboni Union
",0
2016_fall_sunday,Sun Nov 20,"
Boccmanity Insanity
",F,"
Dem Rude Boiz
",F
2016_fall_sunday,Sun Nov 20,"
Bocce By Nature
",0,"
Revenge of the Nerds
",2
2016_fall_sunday,Sun Nov 20,"
Kei Kei's Boiz
",1,"
Sugar
",2
2016_fall_sunday,Sun Nov 20,"
Donatella Verbocce
",2,"
Rollin' with the Homies
",0
2016_fall_sunday,Sun Nov 20,"
Better Than Brunch
",0,"
Boccenalia 
",2
2016_fall_sunday,Sun Nov 20,"
Boccenalia 
",2,"
I Love It When You Call Me Big Bocce
",F
2016_fall_sunday,Sun Nov 20,"
Better Than Brunch
",2,"
Bocce By Nature
",1
2016_fall_sunday,Sun Dec 4,"
Donatella Verbocce
",2,"
Sugar
",1
