season,team,gameType,numGames,numBlocks
20062007,1,playoff,11.0,172.0
20062007,1,regular,82.0,1127.0
20062007,2,playoff,5.0,91.0
20062007,2,regular,82.0,1307.0
20062007,3,playoff,10.0,159.0
20062007,3,regular,82.0,1386.0
20062007,5,playoff,5.0,88.0
20062007,5,regular,82.0,1238.0
20062007,7,playoff,16.0,290.0
20062007,7,regular,82.0,1248.0
20062007,9,playoff,20.0,310.0
20062007,9,regular,82.0,1242.0
20062007,11,playoff,4.0,48.0
20062007,11,regular,82.0,1293.0
20062007,14,playoff,6.0,70.0
20062007,14,regular,82.0,1006.0
20062007,17,playoff,18.0,213.0
20062007,17,regular,82.0,836.0
20062007,18,playoff,5.0,59.0
20062007,18,regular,82.0,1010.0
20062007,20,playoff,6.0,77.0
20062007,20,regular,82.0,1029.0
20062007,23,playoff,12.0,202.0
20062007,23,regular,82.0,870.0
20062007,24,playoff,21.0,224.0
20062007,24,regular,82.0,728.0
20062007,25,playoff,7.0,105.0
20062007,25,regular,82.0,1039.0
20062007,28,playoff,11.0,147.0
20062007,28,regular,82.0,1054.0
20062007,30,playoff,5.0,47.0
20062007,30,regular,82.0,1006.0
20072008,1,playoff,5.0,36.0
20072008,1,regular,82.0,830.0
20072008,3,playoff,10.0,109.0
20072008,3,regular,82.0,1013.0
20072008,4,playoff,17.0,323.0
20072008,4,regular,82.0,1173.0
20072008,5,playoff,20.0,334.0
20072008,5,regular,82.0,1129.0
20072008,6,playoff,7.0,102.0
20072008,6,regular,82.0,878.0
20072008,8,playoff,12.0,226.0
20072008,8,regular,82.0,1343.0
20072008,9,playoff,4.0,46.0
20072008,9,regular,82.0,1011.0
20072008,15,playoff,7.0,102.0
20072008,15,regular,82.0,1005.0
20072008,17,playoff,22.0,217.0
20072008,17,regular,82.0,709.0
20072008,18,playoff,6.0,71.0
20072008,18,regular,82.0,873.0
20072008,20,playoff,7.0,78.0
20072008,20,regular,82.0,764.0
20072008,21,playoff,10.0,143.0
20072008,21,regular,82.0,1081.0
20072008,24,playoff,6.0,58.0
20072008,24,regular,82.0,720.0
20072008,25,playoff,18.0,227.0
20072008,25,regular,82.0,793.0
20072008,28,playoff,13.0,181.0
20072008,28,regular,82.0,992.0
20072008,30,playoff,6.0,56.0
20072008,30,regular,82.0,916.0
20082009,NJD,playoff,7.0,94.0
20082009,NJD,regular,82.0,970.0
20082009,NYR,playoff,7.0,117.0
20082009,NYR,regular,82.0,957.0
20082009,PHI,playoff,6.0,97.0
20082009,PHI,regular,82.0,1243.0
20082009,PIT,playoff,24.0,406.0
20082009,PIT,regular,82.0,1280.0
20082009,BOS,playoff,11.0,136.0
20082009,BOS,regular,82.0,1072.0
20082009,MTL,playoff,4.0,59.0
20082009,MTL,regular,82.0,1316.0
20082009,CAR,playoff,18.0,230.0
20082009,CAR,regular,82.0,1194.0
20082009,WSH,playoff,14.0,188.0
20082009,WSH,regular,82.0,1111.0
20082009,CHI,playoff,17.0,215.0
20082009,CHI,regular,82.0,846.0
20082009,DET,playoff,23.0,232.0
20082009,DET,regular,82.0,741.0
20082009,STL,playoff,4.0,49.0
20082009,STL,regular,82.0,1128.0
20082009,CGY,playoff,6.0,50.0
20082009,CGY,regular,82.0,788.0
20082009,VAN,playoff,10.0,137.0
20082009,VAN,regular,82.0,993.0
20082009,ANA,playoff,13.0,196.0
20082009,ANA,regular,82.0,801.0
20082009,SJS,playoff,6.0,78.0
20082009,SJS,regular,82.0,968.0
20082009,CBJ,playoff,4.0,57.0
20082009,CBJ,regular,82.0,1022.0
20092010,NJD,playoff,5.0,56.0
20092010,NJD,regular,82.0,963.0
20092010,PHI,playoff,23.0,398.0
20092010,PHI,regular,82.0,1254.0
20092010,PIT,playoff,13.0,181.0
20092010,PIT,regular,82.0,1182.0
20092010,BOS,playoff,13.0,196.0
20092010,BOS,regular,82.0,972.0
20092010,BUF,playoff,6.0,112.0
20092010,BUF,regular,82.0,996.0
20092010,MTL,playoff,19.0,404.0
20092010,MTL,regular,82.0,1344.0
20092010,OTT,playoff,6.0,129.0
20092010,OTT,regular,82.0,1193.0
20092010,WSH,playoff,7.0,109.0
20092010,WSH,regular,82.0,1153.0
20092010,CHI,playoff,22.0,370.0
20092010,CHI,regular,82.0,1067.0
20092010,DET,playoff,12.0,141.0
20092010,DET,regular,82.0,914.0
20092010,NSH,playoff,6.0,77.0
20092010,NSH,regular,82.0,1006.0
20092010,COL,playoff,6.0,128.0
20092010,COL,regular,82.0,1226.0
20092010,VAN,playoff,12.0,141.0
20092010,VAN,regular,82.0,991.0
20092010,LAK,playoff,6.0,86.0
20092010,LAK,regular,82.0,990.0
20092010,PHX,playoff,7.0,87.0
20092010,PHX,regular,82.0,970.0
20092010,SJS,playoff,15.0,227.0
20092010,SJS,regular,82.0,1062.0
20102011,NYR,playoff,5.0,103.0
20102011,NYR,regular,82.0,1301.0
20102011,PHI,playoff,11.0,175.0
20102011,PHI,regular,82.0,1317.0
20102011,PIT,playoff,7.0,89.0
20102011,PIT,regular,82.0,1082.0
20102011,BOS,playoff,25.0,377.0
20102011,BOS,regular,82.0,1172.0
20102011,BUF,playoff,7.0,119.0
20102011,BUF,regular,82.0,1168.0
20102011,MTL,playoff,7.0,144.0
20102011,MTL,regular,82.0,1272.0
20102011,TBL,playoff,18.0,336.0
20102011,TBL,regular,82.0,1249.0
20102011,WSH,playoff,9.0,159.0
20102011,WSH,regular,82.0,1257.0
20102011,CHI,playoff,7.0,115.0
20102011,CHI,regular,82.0,1144.0
20102011,DET,playoff,11.0,181.0
20102011,DET,regular,82.0,917.0
20102011,NSH,playoff,12.0,184.0
20102011,NSH,regular,82.0,1007.0
20102011,VAN,playoff,25.0,362.0
20102011,VAN,regular,82.0,1071.0
20102011,ANA,playoff,6.0,103.0
20102011,ANA,regular,82.0,1248.0
20102011,LAK,playoff,6.0,117.0
20102011,LAK,regular,82.0,1032.0
20102011,PHX,playoff,4.0,45.0
20102011,PHX,regular,82.0,1056.0
20102011,SJS,playoff,18.0,338.0
20102011,SJS,regular,82.0,1141.0
20112012,NJD,playoff,24.0,291.0
20112012,NJD,regular,82.0,928.0
20112012,NYR,playoff,20.0,365.0
20112012,NYR,regular,82.0,1338.0
20112012,PHI,playoff,11.0,193.0
20112012,PHI,regular,82.0,1208.0
20112012,PIT,playoff,6.0,81.0
20112012,PIT,regular,82.0,1065.0
20112012,BOS,playoff,7.0,92.0
20112012,BOS,regular,82.0,1054.0
20112012,OTT,playoff,7.0,80.0
20112012,OTT,regular,82.0,1078.0
20112012,FLA,playoff,7.0,85.0
20112012,FLA,regular,82.0,1042.0
20112012,WSH,playoff,14.0,308.0
20112012,WSH,regular,82.0,1302.0
20112012,CHI,playoff,6.0,67.0
20112012,CHI,regular,82.0,1029.0
20112012,DET,playoff,5.0,60.0
20112012,DET,regular,82.0,972.0
20112012,NSH,playoff,10.0,152.0
20112012,NSH,regular,82.0,1213.0
20112012,STL,playoff,9.0,163.0
20112012,STL,regular,82.0,1120.0
20112012,VAN,playoff,5.0,77.0
20112012,VAN,regular,82.0,1019.0
20112012,LAK,playoff,20.0,272.0
20112012,LAK,regular,82.0,969.0
20112012,PHX,playoff,16.0,275.0
20112012,PHX,regular,82.0,1071.0
20112012,SJS,playoff,5.0,73.0
20112012,SJS,regular,82.0,1327.0
20122013,NYI,playoff,6.0,88.0
20122013,NYI,regular,48.0,766.0
20122013,NYR,playoff,12.0,249.0
20122013,NYR,regular,48.0,773.0
20122013,PIT,playoff,15.0,258.0
20122013,PIT,regular,48.0,735.0
20122013,BOS,playoff,22.0,363.0
20122013,BOS,regular,48.0,650.0
20122013,MTL,playoff,5.0,98.0
20122013,MTL,regular,48.0,702.0
20122013,OTT,playoff,10.0,130.0
20122013,OTT,regular,48.0,616.0
20122013,TOR,playoff,7.0,141.0
20122013,TOR,regular,48.0,826.0
20122013,WSH,playoff,7.0,130.0
20122013,WSH,regular,48.0,765.0
20122013,CHI,playoff,23.0,317.0
20122013,CHI,regular,48.0,652.0
20122013,DET,playoff,14.0,184.0
20122013,DET,regular,48.0,560.0
20122013,STL,playoff,6.0,77.0
20122013,STL,regular,48.0,677.0
20122013,VAN,playoff,4.0,55.0
20122013,VAN,regular,48.0,566.0
20122013,ANA,playoff,7.0,110.0
20122013,ANA,regular,48.0,776.0
20122013,LAK,playoff,18.0,237.0
20122013,LAK,regular,48.0,511.0
20122013,SJS,playoff,11.0,203.0
20122013,SJS,regular,48.0,800.0
20122013,MIN,playoff,5.0,79.0
20122013,MIN,regular,48.0,614.0
20132014,NYR,playoff,25.0,419.0
20132014,NYR,regular,82.0,1119.0
20132014,PHI,playoff,7.0,116.0
20132014,PHI,regular,82.0,1200.0
20132014,PIT,playoff,13.0,183.0
20132014,PIT,regular,82.0,1187.0
20132014,BOS,playoff,12.0,185.0
20132014,BOS,regular,82.0,1051.0
20132014,MTL,playoff,17.0,318.0
20132014,MTL,regular,82.0,1491.0
20132014,TBL,playoff,4.0,54.0
20132014,TBL,regular,82.0,1121.0
20132014,CHI,playoff,19.0,336.0
20132014,CHI,regular,82.0,1023.0
20132014,DET,playoff,5.0,67.0
20132014,DET,regular,82.0,1014.0
20132014,STL,playoff,6.0,115.0
20132014,STL,regular,82.0,1121.0
20132014,COL,playoff,7.0,118.0
20132014,COL,regular,82.0,1202.0
20132014,ANA,playoff,13.0,226.0
20132014,ANA,regular,82.0,1242.0
20132014,DAL,playoff,6.0,95.0
20132014,DAL,regular,82.0,1210.0
20132014,LAK,playoff,26.0,400.0
20132014,LAK,regular,82.0,927.0
20132014,SJS,playoff,7.0,108.0
20132014,SJS,regular,82.0,1286.0
20132014,CBJ,playoff,6.0,93.0
20132014,CBJ,regular,82.0,1081.0
20132014,MIN,playoff,13.0,195.0
20132014,MIN,regular,82.0,1126.0
20142015,NYI,playoff,7.0,144.0
20142015,NYI,regular,82.0,1323.0
20142015,NYR,playoff,19.0,292.0
20142015,NYR,regular,82.0,1159.0
20142015,PIT,playoff,5.0,75.0
20142015,PIT,regular,82.0,1094.0
20142015,MTL,playoff,12.0,206.0
20142015,MTL,regular,82.0,1406.0
20142015,OTT,playoff,6.0,109.0
20142015,OTT,regular,82.0,1045.0
20142015,TBL,playoff,26.0,383.0
20142015,TBL,regular,82.0,1098.0
20142015,WSH,playoff,14.0,264.0
20142015,WSH,regular,82.0,1271.0
20142015,CHI,playoff,23.0,361.0
20142015,CHI,regular,82.0,1040.0
20142015,DET,playoff,7.0,73.0
20142015,DET,regular,82.0,908.0
20142015,NSH,playoff,6.0,144.0
20142015,NSH,regular,82.0,1180.0
20142015,STL,playoff,6.0,79.0
20142015,STL,regular,82.0,1173.0
20142015,CGY,playoff,11.0,223.0
20142015,CGY,regular,82.0,1557.0
20142015,VAN,playoff,6.0,81.0
20142015,VAN,regular,82.0,1216.0
20142015,ANA,playoff,16.0,307.0
20142015,ANA,regular,82.0,1162.0
20142015,MIN,playoff,10.0,156.0
20142015,MIN,regular,82.0,1233.0
20152016,NYI,playoff,10.0,172.0
20152016,NYI,regular,82.0,1322.0
20152016,NYR,playoff,5.0,71.0
20152016,NYR,regular,82.0,1314.0
20152016,PHI,playoff,6.0,125.0
20152016,PHI,regular,82.0,1309.0
20152016,PIT,playoff,9.0,172.0
20152016,PIT,regular,82.0,1091.0
20152016,FLA,playoff,6.0,82.0
20152016,FLA,regular,82.0,942.0
20152016,TBL,playoff,9.0,133.0
20152016,TBL,regular,82.0,1027.0
20152016,WSH,playoff,10.0,154.0
20152016,WSH,regular,82.0,1266.0
20152016,CHI,playoff,7.0,109.0
20152016,CHI,regular,82.0,1133.0
20152016,DET,playoff,5.0,62.0
20152016,DET,regular,82.0,909.0
20152016,NSH,playoff,11.0,217.0
20152016,NSH,regular,82.0,1232.0
20152016,STL,playoff,11.0,168.0
20152016,STL,regular,82.0,1127.0
20152016,ANA,playoff,7.0,104.0
20152016,ANA,regular,82.0,1178.0
20152016,DAL,playoff,10.0,154.0
20152016,DAL,regular,82.0,1224.0
20152016,LAK,playoff,5.0,83.0
20152016,LAK,regular,82.0,1027.0
20152016,SJS,playoff,9.0,208.0
20152016,SJS,regular,82.0,1292.0
20152016,MIN,playoff,6.0,137.0
20152016,MIN,regular,82.0,1209.0
